player,pts,country,continent,entered,continent_rank
Oscar Torres,442,Venezuela,Americas,2002,1
Greivis Vasquez,3591,Venezuela,Americas,2011,5
Esteban Batista,121,Uruguay,Americas,2006,1
Hasheem Thabeet,483,"Tanzania, United Republic of",Africa,2010,1
OG Anunoby,4704,United Kingdom,Europe,2018,8
Robert Archibald,51,United Kingdom,Europe,2003,3
Kelenna Azubuike,2178,United Kingdom,Europe,2007,10
Steve Bucknall,23,United Kingdom,Europe,1990,2
James Donaldson,8203,United Kingdom,Europe,1981,1
Ndudi Ebi,40,United Kingdom,Europe,2004,2
Joel Freeland,477,United Kingdom,Europe,2013,5
Ben Gordon,11084,United Kingdom,Europe,2005,8
Woody Grimshaw,61,United Kingdom,Europe,1947,2
Chris Harris,101,United Kingdom,Europe,1956,1
Nikola Jovic,131,United Kingdom,Europe,2023,2
Pops Mensah-Bonsu,181,United Kingdom,Europe,2007,6
Admiral Schofield,407,United Kingdom,Europe,2020,10
Joel Bolomboy,31,Ukraine,Europe,2017,1
Kyrylo Fesenko,305,Ukraine,Europe,2008,2
Viktor Khryapa,643,Ukraine,Europe,2005,3
Viacheslav Kravtsov,97,Ukraine,Europe,2013,2
Alex Len,4434,Ukraine,Europe,2014,9
Stanislav Medvedenko,1390,Ukraine,Europe,2001,5
Svi Mykhailiuk,1696,Ukraine,Europe,2019,7
Oleksiy Pecherov,438,Ukraine,Europe,2008,3
Vitaly Potapenko,3995,Ukraine,Europe,1997,3
Dmytro Skapintsev,0,Ukraine,Europe,2024,2
Raja Bell,6998,Virgin Islands (U.S.),Americas,2001,7
Charles Claxton,2,Virgin Islands (U.S.),Americas,1996,1
Tim Duncan*,26496,Virgin Islands (U.S.),Americas,1998,2
Furkan Aldemir,93,Turkey,Asia,2015,1
Ömer Aşık,2479,Turkey,Asia,2011,2
Onuralp Bitim,0,Turkey,Asia,2024,1
Semih Erden,262,Turkey,Asia,2011,1
Ersan �lyasova,8364,Turkey,Asia,2007,1
Furkan Korkmaz,2196,Turkey,Asia,2018,3
Ibo Kutluay,0,Turkey,Asia,2005,1
Mehmet Okur,8561,Turkey,Asia,2003,2
Alperen Şengün,2490,Turkey,Asia,2022,3
Hedo Türkoğlu,11022,Turkey,Asia,2001,3
Omer Yurtseven,418,Turkey,Asia,2022,1
Salah Mejri,693,Tunisia,Africa,2016,2
Ken Charles,2747,Trinidad and Tobago,Americas,1974,1
Carl Herrera,2481,Trinidad and Tobago,Americas,1992,2
Joe Alexander,282,Taiwan,Asia,2009,2
Clint Capela,7013,Switzerland,Europe,2015,7
Enes Freedom,8349,Switzerland,Europe,2012,3
Thabo Sefolosha,4994,Switzerland,Europe,2007,11
Nikola Vučević,14517,Switzerland,Europe,2012,5
Jonas Jerebko,3919,Sweden,Europe,2010,1
Miles Simon,2,Sweden,Europe,1999,1
Jeff Taylor,807,Sweden,Europe,2013,6
Bol Bol,807,Sudan,Africa,2020,6
Wenyen Gabriel,648,Sudan,Africa,2020,5
Álex Abrines,924,Spain,Europe,2017,5
Santi Aldama,1122,Spain,Europe,2022,12
Wallace Bryant,323,Spain,Europe,1984,1
José Calderón,7921,Spain,Europe,2006,8
Victor Claver,258,Spain,Europe,2013,3
Rudy Fernández,2254,Spain,Europe,2009,5
Jorge Garbajosa,589,Spain,Europe,2007,7
Usman Garuba,273,Spain,Europe,2022,10
Marc Gasol,12514,Spain,Europe,2009,8
Pau Gasol*,20894,Spain,Europe,2002,10
Juancho Hernangómez,1711,Spain,Europe,2017,7
Willy Hernangómez,2524,Spain,Europe,2017,9
Raül López,733,Spain,Europe,2004,6
Fernando Martín,22,Spain,Europe,1987,2
Juan Carlos Navarro,896,Spain,Europe,2008,4
Sergio Rodríguez,1747,Spain,Europe,2007,9
Ricky Rubio,7570,Spain,Europe,2012,2
Wally Szczerbiak,9195,Spain,Europe,2000,3
Deng Adel,32,South Sudan,Africa,2019,1
Manute Bol,1599,South Sudan,Africa,1986,1
Luol Deng,13361,South Sudan,Africa,2005,3
Deng Gai,0,South Sudan,Africa,2006,1
Thon Maker,1216,South Sudan,Africa,2017,4
Duop Reath,174,South Sudan,Africa,2024,6
Steve Nash*,17387,South Africa,Africa,1997,1
Primož Brezec,2452,Slovenia,Europe,2002,6
Vlatko Čančar,461,Slovenia,Europe,2020,11
Luka Dončić,10177,Slovenia,Europe,2019,9
Goran Dragić,12568,Slovenia,Europe,2009,9
Zoran Dragić,28,Slovenia,Europe,2015,1
Marko Milič,108,Slovenia,Europe,1998,1
Boštjan Nachbar,2252,Slovenia,Europe,2003,9
Rasho Nesterović,5519,Slovenia,Europe,1999,4
Uroš Slokar,38,Slovenia,Europe,2007,3
Beno Udrih,6952,Slovenia,Europe,2005,7
Sasha Vujačić,3094,Slovenia,Europe,2005,4
Richard Petruška,53,Slovakia,Europe,1994,2
Miloš Babić,37,Serbia,Europe,1991,1
Nemanja Bjelica,3412,Serbia,Europe,2016,8
Bogdan Bogdanović,5806,Serbia,Europe,2018,9
Žarko Čabarkapa,640,Serbia,Europe,2004,5
Radisav Ćurčić,58,Serbia,Europe,1993,2
Rastko Cvetković,10,Serbia,Europe,1996,2
Vlade Divac*,13398,Serbia,Europe,1990,7
Marko Guduric,173,Serbia,Europe,2020,6
Marko Jarić,3193,Serbia,Europe,2003,11
Nikola Jokić,12963,Serbia,Europe,2016,10
Nenad Krstić,4210,Serbia,Europe,2005,6
Boban Marjanović,1800,Serbia,Europe,2016,6
Vasilije Micić,38,Serbia,Europe,2024,6
Darko Miličić,2813,Serbia,Europe,2004,9
Nemanja Nedović,26,Serbia,Europe,2014,3
Filip Petrušev,3,Serbia,Europe,2024,3
Aleksej Pokusevski,1113,Serbia,Europe,2021,4
Miroslav Raduljica,189,Serbia,Europe,2014,6
Igor Rakočević,78,Serbia,Europe,2003,5
Željko Rebrača,1276,Serbia,Europe,2002,4
Alen Smailagić,87,Serbia,Europe,2020,4
Dragan Tarlać,103,Serbia,Europe,2001,1
Miloš Teodosić,477,Serbia,Europe,2018,2
Mirsad Türkcan,33,Serbia,Europe,2000,2
Slavko Vraneš,0,Serbia,Europe,2004,1
Aleksandar Djordjevic,25,Serbia,Europe,1997,1
Ibou Badji,13,Senegal,Africa,2024,5
Gorgui Dieng,4591,Senegal,Africa,2014,1
DeSagana Diop,1185,Senegal,Africa,2002,2
Tacko Fall,82,Senegal,Africa,2020,1
Mouhamed Gueye,0,Senegal,Africa,2024,1
Karim Mané,11,Senegal,Africa,2021,1
Hamady N'Diaye,20,Senegal,Africa,2011,1
Makhtar N'Diaye,5,Senegal,Africa,1999,2
Mamadou N'Diaye,262,Senegal,Africa,2001,3
Boniface N'Dong,50,Senegal,Africa,2006,2
Maurice Ndour,98,Senegal,Africa,2017,2
Cheikh Samb,22,Senegal,Africa,2008,1
Mouhamed Sene,103,Senegal,Africa,2007,1
Pape Sow,219,Senegal,Africa,2005,1
Adonal Foyle,2989,Saint Vincent and the Grenadines,Americas,1998,1
Chris Boucher,2974,Saint Lucia,Americas,2018,6
Sergei Bazarevich,30,Russian Federation,Europe,1995,1
Sergey Karasev,287,Russian Federation,Europe,2014,7
Sasha Kaun,23,Russian Federation,Europe,2016,2
Andrei Kirilenko,9431,Russian Federation,Europe,2002,8
Yaroslav Korolev,39,Russian Federation,Europe,2006,2
Johnny Macknowski,823,Russian Federation,Europe,1950,1
Sergei Monia,77,Russian Federation,Europe,2006,4
Timofey Mozgov,3072,Russian Federation,Europe,2011,3
Pavel Podkolzin,4,Russian Federation,Europe,2005,1
Alexey Shved,1349,Russian Federation,Europe,2013,7
Alexander Volkov,1019,Russian Federation,Europe,1990,4
Ernie Grunfeld,5124,Romania,Europe,1978,1
Gheorghe Mureșan,3020,Romania,Europe,1994,3
Serge Ibaka,11028,Congo,Africa,2010,2
Pero Antić,708,Macedonia,Europe,2014,8
Cedi Osman,4193,Macedonia,Europe,2018,7
Ha Seung-Jin,70,South Korea,Asia,2005,3
Carlos Arroyo,3770,Puerto Rico,Americas,2002,2
J.J. Barea,7415,Puerto Rico,Americas,2007,4
Gian Clavell,20,Puerto Rico,Americas,2018,1
Guillermo Díaz,5,Puerto Rico,Americas,2008,1
Butch Lee,773,Puerto Rico,Americas,1979,1
José Ortiz,183,Puerto Rico,Americas,1989,4
Peter John Ramos,11,Puerto Rico,Americas,2005,1
Ramón Rivas,40,Puerto Rico,Americas,1989,2
Neemias Queta,121,Portugal,Europe,2022,7
Marcin Gortat,7951,Poland,Europe,2008,6
Maciej Lampe,215,Poland,Europe,2004,3
Cezary Trybański,15,Poland,Europe,2003,1
Rolando Blackman,17623,Panama,Americas,1982,1
Gary Forbes,645,Panama,Americas,2011,2
Rubén Garcés,16,Panama,Americas,2001,2
Stuart Gray,906,Panama,Americas,1985,2
Torgeir Bryn,4,Norway,Europe,1990,1
Precious Achiuwa,1673,Nigeria,Africa,2021,5
Solomon Alabi,39,Nigeria,Africa,2011,2
Peter Aluma,2,Nigeria,Africa,1999,1
Udoka Azubuike,249,Nigeria,Africa,2021,4
Charles Bassey,331,Nigeria,Africa,2022,1
Yinka Dare,233,Nigeria,Africa,1995,2
Obinna Ekezie,510,Nigeria,Africa,2000,1
Festus Ezeli,712,Nigeria,Africa,2013,1
Chima Moneke,2,Nigeria,Africa,2023,1
Julius Nwosu,31,Nigeria,Africa,1995,1
Josh Okogie,2240,Nigeria,Africa,2019,2
Hakeem Olajuwon*,26946,Nigeria,Africa,1985,1
Michael Olowokandi,4135,Nigeria,Africa,1999,3
Eugene Omoruyi,362,Nigeria,Africa,2022,2
Olumide Oyedeji,127,Nigeria,Africa,2001,2
Steven Adams,6518,New Zealand,Oceania,2014,2
Aron Baynes,3115,New Zealand,Oceania,2013,1
Sean Marks,638,New Zealand,Oceania,1999,1
Kirk Penney,5,New Zealand,Oceania,2004,1
Hank Beenders,935,Netherlands,Europe,1947,5
Francisco Elson,1726,Netherlands,Europe,2004,7
Dan Gadzuric,2465,Netherlands,Europe,2003,10
Geert Hammink,14,Netherlands,Europe,1994,1
Swen Nater,8980,Netherlands,Europe,1974,2
Rik Smits,12871,Netherlands,Europe,1989,1
Mike Flynn,1317,Morocco,Africa,1976,1
Predrag Drobnjak,2187,Montenegro,Europe,2002,5
Nikola Mirotić,3910,Montenegro,Europe,2015,5
Žarko Paspalj,72,Montenegro,Europe,1990,3
Sasha Pavlović,2787,Montenegro,Europe,2004,8
Nikola Peković,3405,Montenegro,Europe,2011,4
Aleksandar Radojević,26,Montenegro,Europe,2000,1
Marko Simonovic,23,Montenegro,Europe,2022,5
Gustavo Ayón,635,Mexico,Americas,2012,2
Jorge Gutiérrez,137,Mexico,Americas,2014,1
Horacio Llamas,58,Mexico,Americas,1997,1
Eduardo Nájera,3052,Mexico,Americas,2001,5
Ronny Turiaf,2209,Martinique,Americas,2006,4
Cheick Diallo,958,Mali,Africa,2017,3
